raw_id,idPaiement,userId,informationCarte,dateExpirementCarte,typeMethode,date_extraction,source_system
20,PAY000010,USR00047,2562 XXXX XXXX 5921,22/08/2027,CARTE_CREDIT,2025-05-01 07:48:54,CRM_System
21,PAY000112,USR00027,6565280924287578,04/2026,AMEX,2025-02-21 02:40:38,Manual_Entry
22,PAY000014,USR00020,1187 XXXX XXXX 7266,11/26,Carte Bancaire,2025-05-26 05:06:34,API_Import
23,PAY000129,USR00045,4032074276170,12/2026,CARTE_CREDIT,2025-01-08 22:06:11,Manual_Entry
24,PAY000193,USR00039,7436 XXXX XXXX 8300,2027-04-13,CARTE_CREDIT,2025-05-13 07:08:44,Web_Form
25,PAY000101,USR00010,2267649251583777,2027-01,CARTE_CREDIT,2025-05-13 04:00:34,Legacy_DB
26,PAY000103,USR00017,6591520177749057,03/12/2025,MasterCard,2025-04-10 16:41:06,Legacy_DB
27,PAY000124,USR00036,4767499616597,16/04/2026,VISA,2025-05-24 19:03:19,Manual_Entry
28,PAY000064,USR00016,6011742243864908,2028-03,PayPal,2025-04-17 23:49:10,Legacy_DB
29,PAY000029,USR00043,36789973080696X,23/09/2025,Carte Bancaire,2025-01-09 18:09:26,Mobile_App_v2
30,PAY000089,USR00039,213186617945498,2026-09,VIREMENT,2025-02-01 07:52:05,Mobile_App_v2
31,PAY000113,USR00003,3541220310303726,08/2026,AMEX,2025-03-22 22:42:48,Mobile_App_v2
32,PAY000029,USR00048,4729341722329711,04/2028,MasterCard,2025-01-20 22:26:48,Web_Form
33,PAY000088,USR00045,180028910771198,2028-02,VISA,2025-04-09 01:34:35,Legacy_DB
34,PAY000054,USR00048,1372 XXXX XXXX 6437,04/2028,VIREMENT,2025-04-11 05:27:28,API_Import
35,PAY000141,USR00031,9573 XXXX XXXX 5237,04/2028,AMEX,2025-05-07 14:42:47,Manual_Entry
36,PAY000150,USR00043,1301 XXXX XXXX 7170,07/27,Carte Bancaire,2025-01-07 04:59:27,Web_Form
37,PAY000052,USR00045,1984 XXXX XXXX 5653,2025-12,CARTE_CREDIT,2025-04-24 02:02:11,Legacy_DB
38,PAY000100,USR00043,**** **** **** 7872,2026-03,PayPal,2025-05-23 05:56:21,CRM_System
39,PAY000167,USR00025,5555213760375482,17/07/2025,MasterCard,2025-01-23 20:43:06,Manual_Entry
40,PAY000125,USR00039,2631 XXXX XXXX 6168,12/26,VIREMENT,2025-03-09 16:49:18,Web_Form
41,PAY000200,USR00035,4684467940366401636,27/01/2028,VIREMENT,2025-01-27 03:48:21,Legacy_DB
42,PAY000400,USR00031,30209251920188X,18/07/2026,VIREMENT,2025-03-13 12:21:00,API_Import
43,PAY000057,USR00035,**** **** **** 4923,2028-03-21,Carte Bancaire,2025-01-04 18:23:52,Manual_Entry
44,PAY000338,USR00067,**** **** **** 6431,22/05/2027,CARTE_CREDIT,2025-03-06 21:42:11,CRM_System
45,PAY000145,USR00033,4424873962625918837,2027-05-11,PayPal,2025-04-30 06:41:50,API_Import
46,PAY000322,USR00064,9682 XXXX XXXX 3997,05/28,VIREMENT,2025-02-26 21:31:57,CRM_System
47,PAY000291,USR00044,347465642601865,29/05/2027,VIREMENT,2025-02-12 21:06:48,Web_Form
48,PAY000370,USR00098,464147569001842X,2027-02,AMEX,2025-04-17 16:02:49,Mobile_App_v2
49,PAY000343,USR00078,4268 XXXX XXXX 7585,2028-01-01,Carte Bancaire,2025-05-17 13:00:51,CRM_System
50,PAY000320,USR00026,3588795312040958,2028-02,CARTE_CREDIT,2025-01-17 15:44:10,Mobile_App_v2
51,PAY000389,USR00031,6847 XXXX XXXX 8723,2027-04,VISA,2025-02-21 02:57:51,Web_Form
52,PAY000354,USR00010,3506002302865505,2026-03-02,VIREMENT,2025-01-15 15:19:58,Web_Form
53,PAY000105,USR00060,543484339133252X,2027-05-07,AMEX,2025-04-11 09:30:09,CRM_System
54,PAY000226,USR00092,4641224740985372,08/2025,AMEX,2025-01-31 12:59:23,Web_Form
55,PAY000050,USR00005,**** **** **** 8703,08/25,MasterCard,2025-03-14 02:32:59,Legacy_DB
56,PAY000330,USR00076,354941971575571X,12/2026,CARTE_CREDIT,2025-03-18 04:23:56,Mobile_App_v2
57,PAY000048,USR00033,4878 XXXX XXXX 2946,2027-03-30,AMEX,2025-04-25 14:42:25,Manual_Entry
58,PAY000244,USR00089,**** **** **** 7206,2028-04-04,VIREMENT,2025-01-23 21:06:09,Manual_Entry
59,PAY000111,USR00053,**** **** **** 4037,12/25,CARTE_CREDIT,2025-04-27 11:43:00,API_Import
60,PAY000001,USR00055,**** **** **** 5693,2026-01,PayPal,2025-04-03 22:35:28,Legacy_DB
61,PAY000379,USR00013,3691 XXXX XXXX 1440,02/26,AMEX,2025-03-31 14:30:56,Mobile_App_v2
62,PAY000081,USR00030,2256749066886754,11/2027,VIREMENT,2025-03-20 02:15:04,Web_Form
63,PAY000152,USR00059,676284101679,08/08/2026,VIREMENT,2025-04-16 16:34:51,API_Import
64,PAY000061,USR00093,4035316079179138602,2025-07,AMEX,2025-04-07 03:28:07,Mobile_App_v2
65,PAY000353,USR00009,4028814112874527191,30/04/2028,VISA,2025-02-18 10:46:15,CRM_System
66,PAY000018,USR00069,502024025459,18/02/2028,CARTE_CREDIT,2025-03-04 09:07:58,CRM_System
67,PAY000038,USR00020,4009143529490X,07/25,VISA,2025-03-13 16:48:10,Web_Form
68,PAY000366,USR00067,3722 XXXX XXXX 5360,2025-11-08,MasterCard,2025-01-01 19:28:08,API_Import
69,PAY000081,USR00077,6407 XXXX XXXX 8422,2027-06-07,VIREMENT,2025-05-09 00:32:17,Legacy_DB
70,PAY000313,USR00057,**** **** **** 8446,2026-12,Carte Bancaire,2025-04-05 08:31:27,API_Import
71,PAY000101,USR00052,**** **** **** 1579,08/02/2028,PayPal,2025-04-19 01:35:32,API_Import
72,PAY000298,USR00015,3583028010419455,07/25,VIREMENT,2025-03-30 04:24:34,Manual_Entry
73,PAY000287,USR00062,213141034141312X,2026-08-18,AMEX,2025-04-11 03:11:24,Manual_Entry
74,PAY000266,USR00024,3215 XXXX XXXX 1865,11/2025,PayPal,2025-01-13 22:44:24,Web_Form
75,PAY000261,USR00078,4940 XXXX XXXX 1831,09/25,VIREMENT,2025-02-21 13:26:04,API_Import
76,PAY000269,USR00069,3509339136941269,2026-07,Carte Bancaire,2025-03-11 11:04:10,Mobile_App_v2
77,PAY000092,USR00006,639017737599X,11/08/2027,PayPal,2025-02-23 04:29:51,Web_Form
78,PAY000358,USR00082,3530781117196004,2026-09-21,VIREMENT,2025-05-09 20:33:44,API_Import
79,PAY000217,USR00093,8247 XXXX XXXX 2170,10/27,AMEX,2025-04-27 12:38:30,Mobile_App_v2
80,PAY000349,USR00036,**** **** **** 3138,11/25,CARTE_CREDIT,2025-05-24 15:14:53,CRM_System
