raw_id,userId,prenom,nom,telephone,adresse,date_extraction,source_system,data_quality_notes
59,USR00158,KELLY,stevens,0291139369,"86, avenue de Picard; 80206 Sainte Susanne",2025-05-21 09:49:41,Manual_Entry,
60,USR00160,,costa,(45) 1937-1498,"54617 Cobb Pines; New Natalieborough, NC 96674",2025-01-20 14:49:41,CRM_System,Address incomplete
61,USR00162,Ronald,Lemaître,+33 895560869,"69, chemin Pichon; 97444 Gayboeuf",2025-05-27 09:39:38,Legacy_DB,Phone format issue
62,USR00164,THÉODORE,Powell,N/A,"3866 Shelton Garden Apt. 031; Schwartzchester, NE 48324",2025-04-02 00:25:23,Web_Form,
63,USR00168,CLAUDE,Lefort,0857969344,"27, rue de Nguyen; 60969 Tessierdan",2025-01-18 01:05:30,CRM_System,Phone format issue
64,USR00170,JAIME,nicholson,+1-486-407-4290x6952,rue Margaud Dupont; 11401 Masson,2025-02-20 06:59:00,API_Import,Missing first name
65,USR00172,SUSAN,joly,+33 153268043,"322, rue de Jacquet; 02648 Georges",2025-05-09 01:57:47,API_Import,
66,USR00174,,Brown,445.594.7572,"803, boulevard de Leleu; 15783 Pereira",2025-05-25 14:42:03,Legacy_DB,Address incomplete
67,USR00176,Scott,graham,392.721.9836,"2987 Smith Row; Michaelland, MN 26256",2025-03-08 09:52:22,Web_Form,Missing first name
68,USR00178,,nichols,663.803.7456,"20831 Mills Stream Suite 360; New Annette, TN 89658",2025-02-15 15:16:44,Legacy_DB,Missing first name
69,USR00184,Émile,Wilson,+33 272400868,Unit 3613 Box 1798; DPO AA 35596,2025-05-13 16:15:31,Legacy_DB,Missing first name
70,USR00186,ADRIENNE,leclercq,N/A,"47, rue de Lévêque; 94774 Jacquotdan",2025-01-12 22:30:38,API_Import,
71,USR00190,Lucy,Laurent,N/A,"96, chemin Samson; 73410 Rocher-la-Forêt",2025-02-10 16:28:38,API_Import,Missing first name
72,USR00192,ADRIENNE,marty,723.841.2656,"271, boulevard Aurélie Fournier; 08993 Becker",2025-05-09 14:00:43,CRM_System,Address incomplete
73,USR00194,,traore,0607792264,"78, rue de Delattre; 63321 Michaud-la-Forêt",2025-01-11 00:29:56,Mobile_App_v2,Phone format issue
74,USR00196,,lagarde,(87) 8547-7893,"7403 Price Manor; Campbellview, VI 20200",2025-04-18 15:04:33,Web_Form,Address incomplete
75,USR00198,MICHELLE,gomez,+33 294742934,"82, chemin Capucine Hoareau; 59289 Bourdon-sur-Andre",2025-04-29 00:35:04,Mobile_App_v2,Phone format issue
76,USR00200,Sabrina,Bernard,(22) 7483-4576,"682, rue David; 97380 Pottier",2025-01-29 21:54:41,Manual_Entry,Phone format issue
