raw_id,userId,email,motsDePasse,role,date_extraction,source_system,data_quality_flag
91,USR00091,ashleystephens@example.com,s!8_HrIr83,manager,2025-03-12 15:44:11,CRM_System,
92,USR00092,madison.joly@company.fr,2e6ydGjbZNN7O4Fy,admin,2025-03-08 23:58:01,Web_Form,0.0
93,USR00093,llacroix+10@example.com,29NmvKsQvjUkqvdd,,2025-01-17 15:37:01,Mobile_App_v2,0.0
94,USR00094,eric.leduc@company.fr,_649O)yU59,,2025-05-08 02:24:21,Legacy_DB,
95,USR00095,xshaw+48@example.com,7vWCmVgcfMeyAHOf,utilisateur,2025-05-24 02:19:18,API_Import,
96,USR00096,robinemmanuelle@example.com,kxSSa17h7YfEJxW0,fournisseur,2025-01-19 01:27:19,Manual_Entry,1.0
97,USR00097,user786,sCCFcX6v3fclX2Th,,2025-04-10 06:03:19,Manual_Entry,
98,USR00098,nord@localhost,password123,manager,2025-04-08 13:00:08,Mobile_App_v2,0.0
99,USR00099,marche@localhost,i@7$g3BnuyqO,admin,2025-02-04 21:47:43,Manual_Entry,
100,USR00100,blotisaac+3@example.com, 6dOkf)cL)3 ,,2025-03-08 17:24:39,Web_Form,0.0
101,USR00101,crawfordtara+82@example.com,QcJ38PebIYyVfLga,utilisateur,2025-01-08 04:41:26,API_Import,0.0
102,USR00102,franckgautier@example.net,5I3ZjWpt9OxcpSeH,admin,2025-02-22 00:53:54,Mobile_App_v2,1.0
103,USR00103,user424, %z1Re+iRcV ,utilisateur,2025-05-20 23:19:30,Manual_Entry,1.0
104,USR00104,simonines@example.org,password123,admin,2025-05-15 19:41:09,Mobile_App_v2,0.0
105,USR00105,vincent82@example.net,password123,utilisateur,2025-05-01 08:16:02,Web_Form,0.0
106,USR00106,relever@localhost,h9#3UCoJklz),manager,2025-04-20 01:02:53,Mobile_App_v2,0.0
107,USR00107,user397,W5(a9O$wJ)^D,utilisateur,2025-03-09 21:49:27,API_Import,0.0
108,USR00108,user859,@Kp9YOnb66,admin,2025-05-28 03:27:41,Legacy_DB,
109,USR00109,jamesmarsh@example.org, ^4xgFOmszM ,,2025-02-01 20:01:37,API_Import,
110,USR00110,morrisonryan@example.org,password123,utilisateur,2025-05-16 15:43:32,API_Import,1.0
111,USR00111,jeffreynichols@example.com, ^80FqKhwjW ,manager,2025-03-22 16:22:42,Manual_Entry,1.0
112,USR00112,launayantoine@example.net,)cr7zEOe65,manager,2025-03-28 21:04:32,API_Import,0.0
113,USR00113,ccharrier@example.org,j34)4ns*_fEv,manager,2025-02-19 21:12:32,Legacy_DB,
114,USR00114,khanson+81@example.com,r2FaTI8qCWuz1mio,utilisateur,2025-02-01 12:13:46,Web_Form,0.0
115,USR00115,nguyenlaure+61@example.com,@vvS%lIA_^3!,manager,2025-02-15 04:19:57,CRM_System,
116,USR00116,user235,IIlqMHlA646S3V7e,manager,2025-02-15 07:06:32,Mobile_App_v2,0.0
117,USR00117,aile@localhost,M7tQVT3ehn6WzaE3,fournisseur,2025-02-20 10:19:41,Legacy_DB,
118,USR00118,user841,password123,utilisateur,2025-01-29 11:35:05,Web_Form,0.0
119,USR00119,hugues98@example.com,password123,,2025-05-08 07:36:44,API_Import,
120,USR00120,brûler@localhost,7!6YmS(k42,admin,2025-04-05 20:21:43,Web_Form,0.0
121,USR00121,roybenjamin+63@example.com,#50G$htl29,fournisseur,2025-04-15 08:28:56,API_Import,0.0
122,USR00122,user198,password123,admin,2025-04-20 13:58:17,CRM_System,
123,USR00123,christine.jacques@company.fr, n0FeEsm4$F ,fournisseur,2025-04-15 09:08:14,API_Import,1.0
124,USR00124,brandyrobles@example.org,4TFA7zZXevJjvbQR,manager,2025-05-18 23:38:34,Legacy_DB,1.0
125,USR00125,adelepetit@example.org, +0S(rIx)hz ,utilisateur,2025-02-05 14:28:39,Mobile_App_v2,0.0
126,USR00126,user564,m(2O)mUjE%ZX,fournisseur,2025-02-17 08:28:15,CRM_System,1.0
127,USR00127,vide@localhost, +iS1+nhw1p ,manager,2025-05-18 14:50:06,Mobile_App_v2,0.0
128,USR00128,johnstokes+12@example.com,K$_4Nyck(Zk4,manager,2025-01-07 02:50:02,CRM_System,1.0
129,USR00129,nathan.dupont@company.fr,cJj35jEmbp2mTQfk,manager,2025-02-27 00:16:30,Manual_Entry,1.0
130,USR00130,cecilebodin@example.net, $f4GoxoI%o ,utilisateur,2025-02-18 01:30:49,Mobile_App_v2,1.0
131,USR00131,occasion@localhost,K1fI8Zu3eYll5Oi1,,2025-03-07 20:14:43,Legacy_DB,
132,USR00132,ledouxdaniel+38@example.com,0Gb8zEukHmohmOog,utilisateur,2025-04-08 11:28:47,API_Import,1.0
133,USR00133,jessica.thomas@company.fr,jZ7yyOClm8BEmkzd,manager,2025-01-09 06:12:36,Web_Form,
134,USR00134,user740,password123,fournisseur,2025-05-11 12:50:30,Web_Form,
135,USR00135,jesse.courtois@company.fr,)3BHcUeb91,,2025-05-19 07:33:34,CRM_System,
136,USR00136,hernandezanna+27@example.com, 1xT9GQmwU# ,,2025-05-17 23:31:12,Legacy_DB,
137,USR00137,julie31@example.com, l&&2RoQrN! ,fournisseur,2025-04-10 01:07:42,Mobile_App_v2,0.0
138,USR00138,travis46@example.org,%eV7XQzE32,utilisateur,2025-01-07 14:14:34,Legacy_DB,
139,USR00139,porter@localhost, *_4ZyP(D!+ ,,2025-01-03 13:22:52,Mobile_App_v2,1.0
140,USR00140,amanda.teixeira@company.fr,BzaI05EYSn5t67qf,admin,2025-01-29 06:37:59,CRM_System,1.0
141,USR00141,mari@localhost,(r)6&ZoX64,,2025-03-04 11:12:42,Manual_Entry,0.0
142,USR00142,heidi08+74@example.com,lqQVxYzbA8ibcXig,fournisseur,2025-02-12 17:03:02,Legacy_DB,
143,USR00143,user731,password123,admin,2025-01-09 01:32:37,CRM_System,1.0
144,USR00144,murphymatthew+40@example.com,!r&57!S(pVBe,fournisseur,2025-01-24 12:24:48,Manual_Entry,
145,USR00145,child@localhost,password123,,2025-01-09 08:23:05,Manual_Entry,
146,USR00146,celinaleveque@example.com,HqH5Q9AnN7c3hgEo,admin,2025-04-28 17:26:30,CRM_System,0.0
147,USR00147,garciajoshua@example.org,JZ3NGkDgJ3uaSkZj,fournisseur,2025-03-02 23:25:03,Manual_Entry,
148,USR00148,user729, 6!1R0WKi2* ,admin,2025-01-27 20:31:30,Mobile_App_v2,
149,USR00149,séparer@localhost,3c7_)(Ky)!7S,fournisseur,2025-05-22 17:41:01,Legacy_DB,0.0
150,USR00150,mitchellmichael+9@example.com, *92L3aRdLc ,utilisateur,2025-04-21 04:12:37,API_Import,1.0
151,USR00151,user940,_hd2PK_m55,fournisseur,2025-05-08 15:04:28,API_Import,1.0
152,USR00152,daniel68@example.org,password123,admin,2025-03-06 04:26:47,CRM_System,
153,USR00153,user204,password123,manager,2025-03-11 05:34:59,Mobile_App_v2,
154,USR00154,user926,4oiAKWwQy0Xow0cv,admin,2025-02-23 23:28:00,Web_Form,0.0
155,USR00155,agent@localhost,%hFdAoyUO5B6,fournisseur,2025-03-02 14:51:32,CRM_System,0.0
156,USR00156,than@localhost,%Ej2V1nm86,fournisseur,2025-01-05 03:02:15,API_Import,0.0
157,USR00157,marcellereynaud+78@example.com,%V+3OAqX28,admin,2025-01-18 07:58:34,Legacy_DB,
158,USR00158,nbouchet@example.net,password123,manager,2025-01-05 10:56:05,Manual_Entry,1.0
159,USR00159,user552, eYko2RKB_1 ,utilisateur,2025-04-27 04:09:10,API_Import,1.0
160,USR00160,lisadavis@example.org,password123,fournisseur,2025-01-28 05:59:15,CRM_System,
161,USR00161,user277,Vk@MRhGM_4)g,utilisateur,2025-05-10 00:30:18,Mobile_App_v2,0.0
162,USR00162,grantvanessa+92@example.com, I58tb@Zgj( ,utilisateur,2025-03-02 20:46:17,Legacy_DB,0.0
163,USR00163,catherine.stewart@company.fr,password123,utilisateur,2025-01-11 21:21:47,Manual_Entry,1.0
164,USR00164,suzanne14@example.net, lD0ynjFx^q ,,2025-03-16 15:37:42,Web_Form,
165,USR00165,christophe.lucas@company.fr,iAw1ZujO$G+k,fournisseur,2025-03-22 20:59:18,Legacy_DB,
166,USR00166,zlewis@example.com, mMQAvX6j$2 ,utilisateur,2025-03-25 20:02:28,Web_Form,1.0
167,USR00167,madeleine50+76@example.com,ZADWw&3w%_2j,admin,2025-01-08 22:58:13,Manual_Entry,1.0
168,USR00168,twade+93@example.com, c^5uKNy*L6 ,fournisseur,2025-04-24 08:00:19,CRM_System,1.0
169,USR00169,erica.gilbert@company.fr,fV2XLbYb5%SY,manager,2025-05-14 03:28:54,Mobile_App_v2,
170,USR00170,inspirer@localhost, iG+1qIpIA) ,utilisateur,2025-02-12 07:10:00,API_Import,1.0
171,USR00171,madeleine.rocher@company.fr,S4XvuSPJ&3kH,utilisateur,2025-03-17 01:40:29,API_Import,
172,USR00172,user243,(8jFc^lG60,fournisseur,2025-04-21 03:08:34,API_Import,1.0
173,USR00173,matthieu91+24@example.com,7RjogfVpqELNklNm,,2025-03-12 13:49:46,Web_Form,0.0
174,USR00174,user567,xlF4vId93J43Ez5p,manager,2025-04-06 23:19:15,Legacy_DB,0.0
175,USR00175,rose@localhost,password123,utilisateur,2025-04-17 09:14:51,Web_Form,
176,USR00176,user711, W807Mv_k*0 ,,2025-01-19 09:23:38,Web_Form,0.0
177,USR00177,christopher.combs@company.fr,QtJWP9Iq#*+d,admin,2025-01-28 04:28:47,Web_Form,0.0
178,USR00178,user350,&ul3ZpCw20,utilisateur,2025-05-11 14:20:06,Legacy_DB,0.0
179,USR00179,claudine80+98@example.com,(V(0Vahf50,admin,2025-03-03 22:21:06,Legacy_DB,1.0
180,USR00180,user993,EI0vIPevw5csq1oP,,2025-03-11 18:23:40,CRM_System,1.0
181,USR00181,christianeramos+29@example.com,)H9Fup1l23,fournisseur,2025-05-04 03:27:42,Mobile_App_v2,
182,USR00182,baguilar+97@example.com, l@2FPs3aX& ,manager,2025-05-23 01:45:29,Web_Form,0.0
183,USR00183,patrickoliver+44@example.com,31he9NBaifh3jLB0,admin,2025-01-01 02:11:33,Mobile_App_v2,1.0
184,USR00184,late@localhost, 7DDaZN%n*S ,admin,2025-01-14 21:44:15,Legacy_DB,
185,USR00185,pouvoir@localhost,W1J@6nj6hTde,manager,2025-02-20 15:42:22,Manual_Entry,
186,USR00186,comme@localhost,!7rc1MpF39,utilisateur,2025-03-04 22:54:19,API_Import,1.0
187,USR00187,user107,+Fn7NYx644,admin,2025-05-11 07:53:37,API_Import,
188,USR00188,ggonzalez@example.com,UW&lZ2Or@_qe,manager,2025-01-22 00:37:37,Legacy_DB,1.0
189,USR00189,norma.henry@company.fr,3j$$P*Hu(LOm,,2025-03-27 09:17:52,Mobile_App_v2,0.0
190,USR00190,christina.bègue@company.fr,q*q4EAKi58,utilisateur,2025-05-07 13:19:54,API_Import,0.0
191,USR00191,kathryn.regnier@company.fr,p!^46Oab56,manager,2025-03-09 17:31:12,Manual_Entry,
192,USR00192,user940,jL4II7BxH1tOAimT,utilisateur,2025-04-15 07:51:44,CRM_System,1.0
193,USR00193,maggie.mendès@company.fr,$7nUiTYg@dN6,manager,2025-04-18 13:49:47,CRM_System,0.0
194,USR00194,user730, &eIt*XFMo3 ,utilisateur,2025-01-13 07:03:56,Mobile_App_v2,
195,USR00195,jward+35@example.com,Io5hKoAjg_V_,manager,2025-05-06 05:45:11,Manual_Entry,0.0
196,USR00196,anthony.mendès@company.fr,7O)lTv_D_1Ir,admin,2025-01-17 04:49:09,Web_Form,0.0
197,USR00197,joshua.joubert@company.fr,yc$1C!Xb2,fournisseur,2025-02-26 06:47:27,Mobile_App_v2,1.0
198,USR00198,user610, l6PQmain_6 ,manager,2025-05-09 20:21:56,Mobile_App_v2,1.0
199,USR00199,ronald46@example.com, !WYbZQLnO5 ,,2025-03-06 23:33:34,API_Import,0.0
200,USR00200,josephsullivan@example.com,@+5_QiSp54,,2025-05-16 09:35:20,Manual_Entry,1.0
